user_id,total_events,page_view_count,search_count,product_click_count,add_to_cart_count,remove_from_cart_count,purchase_count,apply_coupon_count,write_review_count,unique_products,unique_categories,avg_product_price,max_product_price,avg_page_duration_sec,total_page_duration_sec,avg_quantity,max_cart_total,avg_cart_total,has_discount,max_discount_pct,is_member,add_to_cart_ratio,search_to_cart_ratio,did_purchase,primary_device,primary_browser,primary_referral,primary_os
user_0083,41,18,4,5,7,2,2,1,2,41,8,317.55,1299.99,151.63,6217,1.39,2499.99,626.82,1,25,0,0.1707,1.75,1,mobile,Chrome,direct,iOS
user_1486,52,25,6,8,8,3,2,0,0,52,8,275.41,1199.99,166.46,8656,1.58,2499.99,487.88,1,25,0,0.1538,1.3333,1,mobile,Chrome,direct,iOS
user_1125,66,29,8,8,9,3,3,5,1,65,8,289.6,1299.99,182.76,12062,1.53,2499.99,571.88,1,25,0,0.1364,1.125,1,mobile,Chrome,direct,Android
user_1497,43,17,6,8,7,1,1,1,2,43,8,290.05,1299.99,152.3,6549,1.63,2499.99,625.57,1,25,0,0.1628,1.1667,1,mobile,Chrome,direct,iOS
user_0249,66,28,15,9,6,3,3,2,0,65,8,290.72,1199.99,172.52,11386,1.45,2499.99,685.98,1,25,0,0.0909,0.4,1,mobile,Chrome,direct,iOS
user_0545,53,24,9,6,5,3,4,2,0,53,8,268.33,1299.99,160.92,8529,1.81,2499.99,541.97,1,25,1,0.0943,0.5556,1,mobile,Chrome,direct,iOS
user_0046,50,23,8,9,7,1,1,0,1,50,8,309.69,1299.99,182.9,9145,1.62,2499.99,619.99,1,25,0,0.14,0.875,1,mobile,Chrome,google_search,iOS
user_0526,68,37,7,7,6,4,4,1,2,68,8,262.75,1199.99,161.62,10990,1.63,2499.99,693.96,1,25,0,0.0882,0.8571,1,mobile,Chrome,direct,iOS
user_1136,54,17,8,8,6,5,3,2,5,54,8,332.99,1299.99,179.35,9685,1.76,2499.99,685.08,1,25,0,0.1111,0.75,1,mobile,Chrome,direct,Android
user_1133,43,16,9,5,5,1,1,3,3,43,8,298.18,1299.99,111.67,4802,1.53,2249.99,653.59,1,25,0,0.1163,0.5556,1,mobile,Chrome,direct,iOS
user_1039,44,18,7,6,7,1,3,1,1,43,8,306.26,1299.99,207.07,9111,1.64,2499.99,627.83,1,25,0,0.1591,1.0,1,mobile,Chrome,social_media,Android
user_1315,48,14,15,5,7,2,2,2,1,48,8,265.88,1199.99,160.42,7700,1.71,2499.99,760.82,1,25,1,0.1458,0.4667,1,mobile,Chrome,google_search,iOS
user_1613,33,16,7,5,1,1,3,0,0,33,8,243.11,899.99,217.03,7162,1.45,2499.99,512.26,1,20,0,0.0303,0.1429,1,mobile,Chrome,direct,Android
user_1784,37,13,4,8,7,2,3,0,0,36,8,246.85,1099.99,160.89,5953,1.68,1999.99,506.61,1,25,0,0.1892,1.75,1,mobile,Chrome,direct,Android
user_1395,54,26,9,7,6,1,2,2,1,54,7,435.19,1299.99,179.28,9681,1.69,2249.99,688.14,1,25,1,0.1111,0.6667,1,mobile,Chrome,google_search,iOS
user_1752,41,20,4,5,4,2,3,2,1,41,8,269.94,1199.99,228.83,9382,1.68,2499.99,626.09,1,25,0,0.0976,1.0,1,mobile,Chrome,google_search,Android
user_1671,38,12,9,5,5,1,2,2,2,38,8,281.58,1199.99,210.32,7992,1.42,2499.99,558.67,1,20,0,0.1316,0.5556,1,mobile,Chrome,social_media,Android
user_1194,45,15,6,8,8,4,2,2,0,45,8,246.4,1099.99,151.67,6825,1.47,2499.99,639.77,1,20,0,0.1778,1.3333,1,mobile,Chrome,google_search,Android
user_1823,35,16,5,1,8,1,1,2,1,35,8,144.7,799.99,235.71,8250,1.8,2499.99,530.13,1,20,0,0.2286,1.6,1,desktop,Chrome,direct,iOS
user_0023,47,18,3,10,9,4,3,0,0,47,8,261.59,1299.99,187.21,8799,1.64,2499.99,443.82,1,25,0,0.1915,3.0,1,mobile,Chrome,direct,iOS
user_0052,55,24,9,6,11,2,2,0,1,55,8,310.82,1199.99,231.36,12725,1.47,2499.99,640.81,1,25,0,0.2,1.2222,1,mobile,Chrome,direct,iOS
user_0670,36,11,5,8,10,1,0,1,0,36,8,266.41,1199.99,166.81,6005,1.42,2249.99,663.32,1,25,0,0.2778,2.0,0,mobile,Chrome,google_search,iOS
user_1266,51,21,7,9,8,2,4,0,0,50,8,389.8,1299.99,165.41,8436,1.71,2499.99,607.54,1,25,0,0.1569,1.1429,1,mobile,Chrome,direct,iOS
user_1181,53,21,10,10,7,2,2,1,0,53,8,227.19,1299.99,143.89,7626,1.47,1999.99,499.61,1,20,0,0.1321,0.7,1,mobile,Chrome,google_search,iOS
user_0717,40,21,2,4,4,1,2,4,2,40,8,276.58,1299.99,148.2,5928,1.65,2499.99,618.12,1,25,1,0.1,2.0,1,desktop,Chrome,google_search,iOS
user_1717,33,15,4,5,5,0,0,3,1,33,8,236.81,1199.99,142.24,4694,1.76,1999.99,511.05,1,25,0,0.1515,1.25,0,mobile,Safari,google_search,iOS
user_1707,38,12,9,6,8,0,3,0,0,38,8,275.61,1299.99,160.18,6087,1.45,2499.99,570.78,1,25,0,0.2105,0.8889,1,mobile,Chrome,google_search,iOS
user_1696,42,18,5,5,7,1,3,2,1,42,7,277.8,1199.99,137.43,5772,1.62,2499.99,554.16,1,25,0,0.1667,1.4,1,mobile,Chrome,direct,iOS
user_1703,43,20,6,3,4,3,3,3,1,42,8,251.98,1299.99,112.4,4833,1.4,2499.99,681.97,1,25,0,0.093,0.6667,1,mobile,Chrome,direct,Android
user_1095,48,16,7,9,9,1,2,3,1,47,8,270.35,1299.99,235.06,11283,1.71,2499.99,653.64,1,25,0,0.1875,1.2857,1,mobile,Chrome,direct,Android
user_0763,61,26,7,7,9,3,3,5,1,61,8,301.04,1299.99,186.36,11368,1.72,2499.99,618.76,1,25,0,0.1475,1.2857,1,mobile,Chrome,direct,iOS
user_1405,61,18,11,9,8,4,9,1,1,60,8,278.91,1299.99,152.21,9285,1.72,2249.99,579.17,1,25,0,0.1311,0.7273,1,mobile,Chrome,direct,Android
user_0930,42,15,5,7,5,2,5,2,1,42,8,345.94,1299.99,173.38,7282,1.93,2249.99,671.66,1,20,0,0.119,1.0,1,mobile,Chrome,direct,iOS
user_1792,64,22,13,10,7,2,6,2,2,62,8,289.58,1299.99,182.33,11669,1.7,2499.99,672.1,1,25,0,0.1094,0.5385,1,mobile,Chrome,direct,iOS
user_1663,48,20,8,5,7,3,1,4,0,48,8,230.33,1299.99,158.81,7623,1.5,2499.99,562.7,1,25,0,0.1458,0.875,1,mobile,Chrome,google_search,iOS
user_0801,43,16,8,4,4,0,5,4,2,42,8,276.23,1299.99,218.77,9407,1.7,2499.99,396.85,1,20,0,0.093,0.5,1,mobile,Safari,direct,iOS
user_1479,49,19,5,10,6,3,0,3,3,49,8,280.8,1299.99,169.84,8322,1.57,2249.99,623.46,1,25,0,0.1224,1.2,0,mobile,Chrome,google_search,Android
user_0024,53,22,5,9,12,4,0,0,1,53,8,289.49,1199.99,171.66,9098,1.66,2499.99,471.59,1,25,0,0.2264,2.4,0,mobile,Chrome,google_search,iOS
user_1651,52,21,7,6,5,1,4,6,2,52,8,326.5,1299.99,173.88,9042,1.38,2499.99,651.72,1,25,0,0.0962,0.7143,1,mobile,Chrome,direct,Android
user_1857,50,23,7,7,5,3,1,2,2,50,8,333.81,1299.99,185.38,9269,1.72,2499.99,609.39,1,25,0,0.1,0.7143,1,mobile,Chrome,google_search,Android
user_1603,51,18,7,5,10,5,4,1,1,51,8,303.14,1299.99,173.49,8848,1.71,2499.99,814.89,1,25,0,0.1961,1.4286,1,mobile,Chrome,direct,iOS
user_0823,49,18,7,7,8,4,2,2,1,49,8,294.06,1199.99,157.9,7737,1.65,2499.99,581.52,1,25,0,0.1633,1.1429,1,mobile,Chrome,direct,Windows
user_1154,52,23,5,10,9,4,0,1,0,52,8,305.25,1299.99,186.27,9686,1.6,2249.99,531.05,1,25,0,0.1731,1.8,0,mobile,Chrome,google_search,iOS
user_1215,54,25,9,7,7,2,3,1,0,53,8,221.03,1199.99,140.96,7612,1.65,2499.99,581.01,1,25,0,0.1296,0.7778,1,mobile,Chrome,social_media,iOS
user_0921,38,15,6,6,3,1,3,4,0,38,7,253.04,1299.99,155.37,5904,1.55,2499.99,727.88,1,25,1,0.0789,0.5,1,mobile,Chrome,direct,iOS
user_1713,47,17,12,5,9,1,3,0,0,47,8,424.35,1299.99,169.28,7956,1.6,2499.99,597.01,1,25,0,0.1915,0.75,1,mobile,Chrome,direct,iOS
user_0904,48,13,14,6,10,2,1,1,1,48,8,262.23,1299.99,163.46,7846,1.58,2499.99,761.34,1,25,0,0.2083,0.7143,1,mobile,Chrome,direct,iOS
user_0289,36,10,3,6,7,5,2,3,0,34,8,313.13,1199.99,130.75,4707,1.67,2499.99,706.24,1,25,1,0.1944,2.3333,1,desktop,Chrome,email_campaign,iOS
user_1339,49,27,8,7,4,1,2,0,0,49,8,261.5,1199.99,185.43,9086,1.63,2499.99,735.6,1,25,0,0.0816,0.5,1,mobile,Chrome,direct,iOS
user_1751,38,19,6,8,4,0,1,0,0,38,8,290.28,1299.99,154.95,5888,1.58,2499.99,625.78,1,15,0,0.1053,0.6667,1,mobile,Chrome,direct,iOS
user_1976,44,15,7,4,9,1,6,2,0,44,7,291.43,1099.99,124.23,5466,1.75,2499.99,481.13,1,25,0,0.2045,1.2857,1,mobile,Chrome,google_search,iOS
user_0370,49,17,13,5,8,2,1,2,1,49,8,341.6,1299.99,169.04,8283,1.61,2499.99,654.28,1,20,0,0.1633,0.6154,1,mobile,Chrome,direct,Android
user_1865,45,15,7,5,12,2,2,0,2,44,8,267.49,1299.99,165.33,7440,1.71,2499.99,680.88,1,20,0,0.2667,1.7143,1,mobile,Chrome,google_search,Android
user_1169,51,14,10,7,7,6,3,3,1,51,8,175.91,1099.99,168.47,8592,1.49,2499.99,515.87,1,25,0,0.1373,0.7,1,mobile,Chrome,direct,iOS
user_1358,45,23,7,3,8,2,2,0,0,45,8,219.5,1199.99,133.53,6009,1.67,2499.99,464.88,1,25,0,0.1778,1.1429,1,mobile,Chrome,direct,iOS
user_1769,60,20,15,7,7,1,4,3,3,59,8,245.22,1299.99,175.55,10533,1.73,2499.99,598.07,1,25,0,0.1167,0.4667,1,mobile,Chrome,direct,iOS
user_0989,47,19,6,2,9,3,6,0,2,47,8,272.33,1099.99,171.96,8082,1.74,2499.99,773.29,1,25,0,0.1915,1.5,1,mobile,Chrome,direct,iOS
user_0829,55,19,9,8,10,2,3,2,2,55,8,227.84,1299.99,141.42,7778,1.65,2499.99,658.72,1,25,0,0.1818,1.1111,1,mobile,Chrome,direct,Android
user_1821,52,21,10,10,5,3,1,1,1,52,8,284.54,1199.99,153.06,7959,1.67,2499.99,693.55,1,25,0,0.0962,0.5,1,mobile,Chrome,google_search,Android
user_0486,54,22,6,3,13,2,2,6,0,53,7,283.3,1299.99,183.67,9918,1.63,2249.99,724.53,1,20,0,0.2407,2.1667,1,mobile,Chrome,direct,iOS
user_0824,53,26,5,7,7,2,3,2,1,53,8,293.41,1199.99,121.42,6435,1.42,2249.99,478.48,1,25,0,0.1321,1.4,1,mobile,Chrome,google_search,iOS
user_0304,54,30,6,7,5,4,1,1,0,54,8,297.27,1299.99,183.54,9911,1.59,2499.99,593.05,1,25,0,0.0926,0.8333,1,mobile,Chrome,direct,iOS
user_0268,49,13,11,6,11,3,3,2,0,49,8,299.56,1299.99,132.27,6481,1.43,2249.99,488.26,1,20,0,0.2245,1.0,1,mobile,Chrome,google_search,Android
user_0097,39,15,4,4,8,3,3,1,1,39,7,300.45,1299.99,165.03,6436,1.79,2499.99,552.55,1,25,0,0.2051,2.0,1,mobile,Chrome,direct,iOS
user_0078,42,15,7,5,9,1,3,1,1,42,8,279.69,1199.99,230.86,9696,1.67,2499.99,614.4,1,25,0,0.2143,1.2857,1,mobile,Chrome,google_search,iOS
user_1510,45,14,8,8,9,3,1,1,1,45,8,285.39,1199.99,204.89,9220,1.67,2499.99,724.32,1,20,0,0.2,1.125,1,mobile,Chrome,direct,Android
user_1275,42,16,7,9,3,3,4,0,0,42,8,273.29,1299.99,213.69,8975,1.62,2499.99,667.37,1,20,0,0.0714,0.4286,1,mobile,Chrome,direct,Android
user_1425,41,17,4,7,8,2,1,2,0,41,7,250.03,1199.99,139.46,5718,1.8,2499.99,621.21,1,25,0,0.1951,2.0,1,mobile,Chrome,direct,Android
user_1830,58,29,11,8,4,1,4,1,0,58,8,228.15,1299.99,196.16,11377,1.66,2499.99,732.4,1,25,0,0.069,0.3636,1,mobile,Chrome,direct,Android
user_1549,52,16,7,7,11,3,1,4,3,51,8,193.51,1199.99,200.98,10451,1.71,2499.99,603.64,1,25,0,0.2115,1.5714,1,mobile,Safari,direct,iOS
user_1786,54,25,6,10,6,2,0,3,2,54,8,199.21,1099.99,164.78,8898,1.72,2499.99,592.03,1,25,0,0.1111,1.0,0,mobile,Safari,google_search,iOS
user_1977,51,14,7,16,6,5,2,1,0,51,8,279.95,1299.99,117.16,5975,1.57,2499.99,660.38,1,25,0,0.1176,0.8571,1,mobile,Chrome,direct,Android
user_1240,49,21,9,8,6,2,0,2,1,49,8,252.45,1199.99,150.12,7356,1.43,2249.99,582.64,1,25,1,0.1224,0.6667,0,mobile,Chrome,direct,iOS
user_0211,49,15,10,10,9,0,3,1,1,49,8,251.18,1299.99,155.37,7613,1.71,2499.99,505.81,1,25,0,0.1837,0.9,1,mobile,Chrome,direct,iOS
user_1387,63,21,14,8,9,4,2,2,3,62,8,314.99,1299.99,156.71,9873,1.65,2499.99,564.75,1,25,0,0.1429,0.6429,1,mobile,Chrome,google_search,iOS
user_0035,43,15,3,4,11,4,4,1,1,43,8,331.04,1299.99,155.53,6688,1.72,2499.99,771.04,1,20,0,0.2558,3.6667,1,mobile,Chrome,direct,Android
user_0445,45,23,5,6,5,0,2,2,2,45,8,309.05,1299.99,181.07,8148,1.62,2499.99,690.32,1,25,0,0.1111,1.0,1,mobile,Chrome,direct,iOS
user_0832,63,27,7,10,13,4,0,2,0,63,8,269.13,1299.99,152.48,9606,1.52,2499.99,681.97,1,25,0,0.2063,1.8571,0,mobile,Chrome,google_search,Android
user_0679,51,25,7,9,6,3,0,0,1,51,8,277.3,1199.99,212.1,10817,1.9,2499.99,624.89,1,25,0,0.1176,0.8571,0,mobile,Chrome,direct,iOS
user_1958,54,22,10,9,8,1,3,0,1,54,8,211.53,1299.99,145.76,7871,1.57,2249.99,474.25,1,25,0,0.1481,0.8,1,mobile,Chrome,google_search,iOS
user_0301,45,16,8,7,11,2,0,0,1,45,8,347.1,1299.99,190.0,8550,1.96,2499.99,798.88,1,25,0,0.2444,1.375,0,mobile,Chrome,direct,iOS
user_0820,46,16,9,8,3,4,2,4,0,46,8,358.96,1299.99,182.24,8383,1.57,2499.99,724.99,1,25,0,0.0652,0.3333,1,mobile,Chrome,direct,iOS
user_0161,47,16,7,9,9,6,0,0,0,46,8,240.82,1199.99,139.7,6566,1.57,2499.99,527.76,1,25,0,0.1915,1.2857,0,mobile,Chrome,google_search,Android
user_0427,59,31,6,6,10,2,2,0,2,56,8,277.08,1199.99,158.78,9368,1.61,2499.99,699.57,1,25,0,0.1695,1.6667,1,mobile,Chrome,google_search,iOS
user_0153,49,21,3,4,13,3,1,2,2,49,8,239.06,1299.99,164.73,8072,1.59,2499.99,698.77,1,25,0,0.2653,4.3333,1,mobile,Chrome,direct,Android
user_0909,56,18,9,5,13,3,4,1,3,55,6,245.36,1099.99,137.05,7675,1.48,2499.99,678.2,1,25,0,0.2321,1.4444,1,mobile,Chrome,google_search,iOS
user_0720,54,16,11,8,11,0,3,2,3,53,8,215.97,1299.99,169.74,9166,1.46,2499.99,453.23,1,25,0,0.2037,1.0,1,mobile,Chrome,google_search,Android
user_1665,54,22,2,10,11,2,2,3,2,54,7,261.84,1299.99,170.59,9212,1.56,2499.99,603.51,1,25,0,0.2037,5.5,1,mobile,Chrome,google_search,Android
user_1072,58,26,9,10,8,1,3,1,0,58,8,291.52,1299.99,168.98,9801,1.59,2499.99,751.28,1,25,0,0.1379,0.8889,1,mobile,Chrome,direct,iOS
user_0281,52,20,10,9,9,1,0,3,0,52,8,217.51,1199.99,212.23,11036,1.73,2499.99,626.62,1,25,1,0.1731,0.9,0,mobile,Chrome,direct,iOS
user_1447,48,20,5,4,11,4,3,0,1,48,7,298.02,1199.99,210.19,10089,1.5,2249.99,566.66,1,25,0,0.2292,2.2,1,mobile,Chrome,direct,Android
user_1284,57,26,9,6,8,2,5,1,0,56,8,315.13,1199.99,145.05,8268,1.53,2499.99,561.57,1,25,0,0.1404,0.8889,1,mobile,Chrome,direct,iOS
user_0911,62,22,6,12,15,1,5,0,1,62,8,283.98,1299.99,175.92,10907,1.66,2499.99,629.83,1,25,0,0.2419,2.5,1,mobile,Chrome,direct,iOS
user_1164,45,16,7,5,9,1,2,1,4,45,8,272.38,1199.99,219.87,9894,1.87,2499.99,596.32,1,25,0,0.2,1.2857,1,mobile,Chrome,direct,iOS
user_0854,51,13,5,12,11,3,6,1,0,51,8,348.38,1199.99,181.61,9262,1.61,2499.99,606.07,1,25,0,0.2157,2.2,1,mobile,Chrome,direct,iOS
user_0974,51,30,6,9,2,2,1,1,0,51,8,254.14,1199.99,154.43,7876,1.65,2499.99,586.85,1,25,0,0.0392,0.3333,1,desktop,Chrome,google_search,iOS
user_1928,66,30,6,10,12,2,2,4,0,66,8,317.05,1299.99,136.59,9015,1.68,2499.99,545.6,1,25,0,0.1818,2.0,1,mobile,Chrome,direct,Android
user_1218,51,15,13,7,7,3,2,1,3,51,8,345.04,1299.99,151.47,7725,1.76,2499.99,708.91,1,25,0,0.1373,0.5385,1,mobile,Chrome,direct,Android
user_0432,54,19,11,12,6,2,0,3,1,53,8,298.36,1299.99,150.13,8107,1.57,2499.99,559.25,1,25,0,0.1111,0.5455,0,desktop,Chrome,direct,Android
user_0336,67,28,8,14,5,3,7,2,0,65,8,258.66,1299.99,163.15,10931,1.7,2499.99,756.78,1,25,0,0.0746,0.625,1,mobile,Chrome,direct,Android
user_0690,53,19,9,4,8,4,4,3,2,51,8,333.91,1199.99,175.47,9300,1.32,2499.99,649.05,1,25,0,0.1509,0.8889,1,mobile,Chrome,direct,Android
user_0273,57,26,5,12,4,5,4,0,1,57,8,327.16,1199.99,174.89,9969,1.74,2249.99,424.73,1,20,0,0.0702,0.8,1,mobile,Chrome,direct,iOS
user_1433,40,11,8,9,4,4,4,0,0,39,8,316.39,1299.99,175.7,7028,1.65,2499.99,846.12,1,20,0,0.1,0.5,1,mobile,Chrome,google_search,Android
user_1813,59,21,9,12,9,1,3,2,2,57,7,357.25,1299.99,123.69,7298,1.78,2499.99,670.5,1,25,0,0.1525,1.0,1,mobile,Chrome,google_search,iOS
user_0968,42,17,8,3,6,4,1,0,3,42,7,223.74,999.99,189.64,7965,1.57,2499.99,653.21,1,25,0,0.1429,0.75,1,mobile,Chrome,direct,Android
user_0059,55,17,5,10,11,4,5,3,0,54,8,211.94,1199.99,142.65,7846,1.44,2499.99,542.81,1,25,0,0.2,2.2,1,mobile,Chrome,direct,iOS
user_1353,57,26,5,10,12,3,0,0,1,57,8,238.71,1299.99,154.23,8791,1.54,2499.99,565.78,1,25,0,0.2105,2.4,0,mobile,Safari,google_search,Android
user_0492,49,22,6,3,5,5,4,2,2,49,8,242.13,1299.99,199.08,9755,1.41,2499.99,644.99,1,20,0,0.102,0.8333,1,mobile,Chrome,google_search,Android
user_1414,48,14,5,10,10,4,3,1,1,48,8,357.03,1299.99,173.42,8324,1.92,2499.99,419.78,1,25,0,0.2083,2.0,1,mobile,Chrome,direct,Android
user_1005,69,24,14,14,8,1,3,1,4,68,8,231.83,1199.99,183.74,12678,1.75,2499.99,577.16,1,25,0,0.1159,0.5714,1,mobile,Chrome,direct,Android
user_1089,48,24,5,8,6,4,0,1,0,48,8,357.97,1199.99,191.31,9183,1.56,2499.99,448.32,1,25,0,0.125,1.2,0,mobile,Chrome,google_search,iOS
user_0363,60,19,9,13,12,3,3,1,0,58,8,297.99,1299.99,216.12,12967,1.47,2499.99,654.07,1,25,0,0.2,1.3333,1,mobile,Chrome,google_search,iOS
user_0347,46,23,4,4,6,4,1,1,3,45,7,226.2,999.99,199.46,9175,1.5,2499.99,409.99,1,25,0,0.1304,1.5,1,mobile,Chrome,google_search,Android
user_1278,63,22,7,12,11,1,5,5,0,63,8,231.81,1299.99,157.17,9902,1.67,2499.99,646.74,1,25,0,0.1746,1.5714,1,mobile,Chrome,google_search,iOS
user_1771,47,20,5,8,5,5,1,2,1,47,8,229.28,899.99,166.51,7826,1.64,2499.99,560.52,1,25,0,0.1064,1.0,1,mobile,Chrome,direct,Android
user_0132,40,14,10,4,3,3,4,0,2,40,8,227.51,1199.99,216.03,8641,1.53,2499.99,605.62,1,20,0,0.075,0.3,1,mobile,Chrome,google_search,iOS
user_1033,48,17,6,9,8,3,3,1,1,48,8,312.02,1299.99,200.58,9628,1.58,2499.99,743.22,1,25,0,0.1667,1.3333,1,mobile,Chrome,google_search,Android
user_1699,56,25,6,9,7,4,1,3,1,56,8,300.7,1299.99,160.14,8968,1.8,2499.99,669.72,1,25,1,0.125,1.1667,1,mobile,Chrome,google_search,Android
user_1677,47,23,4,8,7,1,3,0,1,46,8,308.3,1299.99,195.55,9191,1.62,2499.99,710.84,1,25,0,0.1489,1.75,1,mobile,Chrome,google_search,iOS
user_1379,43,15,9,6,7,3,2,0,1,43,8,398.2,1299.99,149.72,6438,1.74,2499.99,536.97,1,25,0,0.1628,0.7778,1,mobile,Chrome,direct,iOS
user_1975,59,26,8,6,9,4,4,2,0,58,8,315.92,1299.99,169.19,9982,1.68,2499.99,574.82,1,25,0,0.1525,1.125,1,mobile,Chrome,direct,iOS
user_0463,48,21,7,7,5,2,2,3,1,48,8,261.05,1299.99,128.02,6145,1.6,2499.99,514.05,1,25,0,0.1042,0.7143,1,mobile,Safari,google_search,Android
user_1418,44,18,6,7,9,1,2,1,0,44,8,250.48,1299.99,150.09,6604,1.66,2499.99,677.38,1,25,0,0.2045,1.5,1,mobile,Chrome,direct,Android
user_0816,50,19,5,7,10,0,2,4,3,50,8,244.45,899.99,137.74,6887,1.54,1999.99,437.09,1,25,0,0.2,2.0,1,mobile,Chrome,direct,iOS
user_0062,52,14,8,11,10,2,3,2,2,52,8,320.15,1299.99,159.02,8269,1.73,2499.99,708.74,1,25,0,0.1923,1.25,1,mobile,Chrome,direct,Android
user_1701,45,17,3,10,7,3,3,2,0,45,8,289.45,1299.99,204.02,9181,1.78,2499.99,752.99,1,25,0,0.1556,2.3333,1,mobile,Chrome,direct,Windows
user_0951,39,11,9,4,6,3,4,1,1,39,8,195.32,1299.99,254.85,9939,1.79,2499.99,630.25,1,25,0,0.1538,0.6667,1,desktop,Chrome,google_search,iOS
user_0375,44,15,8,7,7,0,4,2,1,44,8,283.22,1299.99,169.5,7458,1.59,2499.99,654.88,1,25,0,0.1591,0.875,1,mobile,Chrome,direct,iOS
user_1126,43,21,5,8,5,1,3,0,0,43,8,311.19,1299.99,158.51,6816,1.53,2499.99,650.11,1,25,0,0.1163,1.0,1,desktop,Chrome,direct,iOS
user_1365,57,22,16,3,7,3,3,1,2,57,8,324.62,1299.99,168.11,9582,1.4,1999.99,531.83,1,25,0,0.1228,0.4375,1,mobile,Chrome,google_search,iOS
user_1062,47,17,8,7,5,6,3,1,0,47,7,189.08,1099.99,152.6,7172,1.74,2499.99,464.03,1,25,0,0.1064,0.625,1,mobile,Chrome,direct,iOS
user_1793,42,18,6,4,7,2,2,2,1,42,7,229.57,1099.99,163.43,6864,1.48,2499.99,678.56,1,25,1,0.1667,1.1667,1,mobile,Chrome,direct,iOS
user_0114,49,22,6,9,7,2,2,1,0,48,8,312.8,1299.99,168.22,8243,2.0,2499.99,443.56,1,25,0,0.1429,1.1667,1,mobile,Chrome,google_search,Android
user_1617,56,26,8,7,5,3,6,0,1,56,8,388.62,1299.99,104.75,5866,1.8,2499.99,784.28,1,25,0,0.0893,0.625,1,mobile,Chrome,google_search,Windows
user_1045,40,25,4,2,3,3,0,2,1,39,8,345.99,1299.99,172.3,6892,1.45,2499.99,519.74,1,20,0,0.075,0.75,0,mobile,Chrome,direct,iOS
user_0789,63,24,7,12,10,4,4,0,2,63,8,271.12,1299.99,172.3,10855,1.75,2499.99,701.02,1,25,0,0.1587,1.4286,1,mobile,Chrome,google_search,iOS
user_0126,42,18,5,5,6,4,1,2,1,42,7,204.26,899.99,143.69,6035,1.64,2249.99,607.13,1,20,0,0.1429,1.2,1,mobile,Chrome,google_search,iOS
user_0238,43,13,10,9,8,3,0,0,0,42,8,301.86,1199.99,227.47,9781,1.72,2499.99,588.71,1,25,0,0.186,0.8,0,mobile,Chrome,direct,iOS
user_1291,50,18,10,6,10,4,1,1,0,50,8,335.55,1299.99,228.88,11444,1.64,2499.99,529.39,1,25,0,0.2,1.0,1,mobile,Chrome,direct,iOS
user_1281,59,25,10,9,6,4,4,0,1,59,8,239.23,1299.99,191.98,11327,1.64,2499.99,512.36,1,25,0,0.1017,0.6,1,mobile,Chrome,direct,iOS
user_0460,52,18,7,8,11,2,4,2,0,51,8,251.75,999.99,168.87,8781,1.58,2499.99,820.47,1,25,0,0.2115,1.5714,1,desktop,Chrome,google_search,iOS
